State,City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Number of Violent Crimes Per 100 People,Number of Property Crimes Per 100 People,Victims of Crime Per 100 People,Total Crimes,percent total violent crime,,,percent property crime,,
New York,New York,"8,345,075","48,430",523,890,"22,186","24,831","149,989","19,867","117,682","12,440",n/a,0.58,1.8,4.76,"396,838",13.74,33.17,41.41,9.27,26.07,35.55663644
Illinois,Chicago,"2,829,304","35,764",510,n/a,"16,653","17,032","131,053","26,041","86,043","18,969",637,1.26,4.63,11.76,"332,702",10.14,24.50,,8.10,22.78,
Texas,Houston,"2,238,895","24,779",294,750,"10,603","13,132","110,759","26,947","68,598","15,214",956,1.11,4.95,12.15,"272,032",7.03,16.97,,6.85,19.25,
California,Los Angeles,"3,850,920","26,553",384,949,"13,422","11,798","100,821","19,726","58,472","22,623","1,967",0.69,2.62,6.67,"256,715",7.53,18.19,,6.23,17.52,
Arizona,Phoenix,"1,585,838","10,465",167,481,"4,825","4,992","82,689","18,783","48,685","15,221",473,0.66,5.21,11.78,"186,781",2.97,,,5.11,14.37,
Pennslyvania,Philadelphia,"1,441,117","20,771",331,"1,038","9,618","9,784","62,584","12,845","40,681","9,058",n/a,1.44,4.34,11.57,"166,710",5.89,14.23,,3.87,,
Tennessee,Memphis,"672,046","12,937",138,366,"4,787","7,646","53,839","15,874","32,548","5,417",190,1.93,8.01,19.9,"133,742",3.67,,,3.33,,
Nevada,Las Vegas,"1,353,175","13,324",120,729,"4,932","7,543","53,160","14,902","26,856","11,402",319,0.98,3.93,9.85,"133,287",3.78,,,3.29,,
Michigan,Detroit,"905,783","17,428",306,330,"6,115","10,677","53,095","17,818","18,836","16,441",691,1.92,5.86,15.65,"141,737",4.94,,,3.28,,
Indiana,Indianapolis,"808,329","9,735",114,475,"4,023","5,123","49,177","14,267","28,466","6,444",367,1.2,6.08,14.62,"118,191",2.76,,,3.04,,
Ohio,Columbus,"751,887","5,821",109,615,"3,590","1,507","48,282","14,708","28,263","5,311",470,0.77,6.42,14.45,"108,676",1.65,,,2.98,,
North Carolina,Charlotte,"758,769","7,070",83,272,"2,984","3,731","46,934","11,933","29,735","5,266",336,0.93,6.19,14.28,"108,344",2.01,,,2.90,,
Florida,Jacksonville,"806,080","8,032",115,262,"2,938","4,717","46,198","12,012","30,157","4,029",122,1,5.73,13.47,"108,582",2.28,,,2.86,,
Georgia,Atlanta,"533,016","7,403",105,126,"3,308","3,864","38,978","9,989","22,499","6,490",147,1.39,7.31,17.43,"92,909",2.10,,,2.41,,
